City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
shah-alam,seksyen-15-shah-alam,27/07/2016,"✕✕. ✕✕, JALAN SESIKU 15/2",DETACHED FACTORY,,"27,902 ft²",178,"15,500,000"
shah-alam,seksyen-15-shah-alam,18/05/2016,"✕✕(✕✕✕), JALAN UTAS 15/7",DETACHED FACTORY,,,135,"61,000,000"
shah-alam,seksyen-15-shah-alam,20/11/2015,"✕, JALAN RAGUM 15/17",DETACHED FACTORY,,,145,"31,500,000"
shah-alam,seksyen-15-shah-alam,09/10/2014,"✕, JALAN 15/17",DETACHED FACTORY,,,139,"44,500,000"
shah-alam,seksyen-15-shah-alam,20/08/2014,"✕✕✕ ✕✕, JALAN 15/9",DETACHED FACTORY,,"5,750 ft²",106,"28,400,000"
shah-alam,seksyen-15-shah-alam,,,,,,,
semenyih,lekas-industri-park,13/02/2015,"✕✕✕ ✕✕. ✕, P/L 39357",SEMI-D FACTORY,"17,814 ft²","7,020 ft²",209,"3,730,000"
semenyih,lekas-industri-park,25/07/2014,"✕✕✕ ✕✕ ✕, P/L 39357",SEMI-D FACTORY,"17,750 ft²","7,020 ft²",210,"3,720,000"
semenyih,lekas-industri-park,03/06/2014,"✕✕✕ ✕✕ ✕, P/L 39357",SEMI-D FACTORY,"17,696 ft²","7,020 ft²",210,"3,720,000"
semenyih,lekas-industri-park,15/05/2014,"✕✕✕ ✕✕ ✕✕, JALAN 2, KAWASAN PERINDUSTRIAN LEKAS 18",SEMI-D FACTORY,"18,912 ft²","7,020 ft²",200,"3,790,000"
semenyih,lekas-industri-park,,,,,,,
shah-alam,tiong-nam-industrial-park-2,26/01/2017,"✕✕(✕✕✕), JALAN 15/23",SEMI-D FACTORY,"10,637 ft²","5,283 ft²",451,"4,800,000"
shah-alam,tiong-nam-industrial-park-2,12/01/2017,"✕✕ (✕✕✕), JALAN 15/23",SEMI-D FACTORY,"10,637 ft²","5,283 ft²",451,"4,800,000"
shah-alam,tiong-nam-industrial-park-2,06/12/2016,"✕✕ (✕✕✕), JALAN 15/23",SEMI-D FACTORY,"10,637 ft²","5,283 ft²",423,"4,500,000"
