City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
beranang,lion-industrial-park,26/01/1999,"✕✕✕✕, JALAN PERINDUSTRIAN MAHKOTA 3E",TERRACE FACTORY,"1,604 ft²","1,052 ft²",75,"120,000"
beranang,lion-industrial-park,,,,,,,
batu-arang,kota-puteri--bandar-batu-arang,26/09/2017,"✕✕ ✕✕✕ (✕✕✕✕ ✕✕.✕✕), OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"16,007 ft²","7,425 ft²",185,"2,955,280"
batu-arang,kota-puteri--bandar-batu-arang,13/04/2017,"✕✕ ✕✕✕, OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"16,007 ft²","7,425 ft²",200,"3,200,000"
batu-arang,kota-puteri--bandar-batu-arang,20/02/2017,"✕✕ ✕✕✕ (✕✕✕✕ ✕✕.✕✕), OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"16,007 ft²","7,425 ft²",185,"2,955,280"
batu-arang,kota-puteri--bandar-batu-arang,27/09/2016,"✕✕✕✕✕, OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"16,007 ft²","7,425 ft²",185,"2,955,280"
batu-arang,kota-puteri--bandar-batu-arang,27/09/2016,"✕✕✕, OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"16,000 ft²","7,425 ft²",185,"2,955,280"
batu-arang,kota-puteri--bandar-batu-arang,19/08/2016,"✕✕✕ ✕✕ (✕✕✕✕ ✕✕ ✕✕), KOTA PUTERI SEKSYEN 6",SEMI-D FACTORY,"17,070 ft²","4,725 ft²",147,"2,517,000"
batu-arang,kota-puteri--bandar-batu-arang,14/07/2016,"✕✕ ✕✕✕, OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"24,406 ft²","7,425 ft²",125,"3,056,000"
batu-arang,kota-puteri--bandar-batu-arang,29/06/2016,"✕✕ ✕✕✕, OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"16,000 ft²","7,425 ft²",206,"3,300,000"
batu-arang,kota-puteri--bandar-batu-arang,31/05/2016,"✕✕ ✕✕✕(✕✕✕✕ ✕✕.✕✕), OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"34,450 ft²","7,425 ft²",101,"3,479,000"
batu-arang,kota-puteri--bandar-batu-arang,31/05/2016,"✕✕✕✕✕, OFF JALAN KUALA SELANGOR",SEMI-D FACTORY,"20,098 ft²","7,425 ft²",144,"2,896,000"
batu-arang,kota-puteri--bandar-batu-arang,,,,,,,
balakong,off-jalan-balakong,13/10/2016,"✕✕✕ ✕, JALAN KB 2/15",SEMI-D FACTORY,"14,025 ft²","4,399 ft²",298,"4,180,000"
balakong,off-jalan-balakong,13/06/2016,"✕✕✕✕ ✕✕, JALAN BALAKONG",DETACHED FACTORY,,"24,027 ft²",210,"21,856,200"
balakong,off-jalan-balakong,13/06/2016,"✕✕✕✕, BATU 11, JALAN BALAKONG",DETACHED FACTORY,,"20,800 ft²",210,"10,960,900"
balakong,off-jalan-balakong,29/12/2015,"✕✕✕✕, JALAN 7/1",DETACHED FACTORY,,"15,252 ft²",67,"8,000,000"
balakong,off-jalan-balakong,27/02/2015,"✕✕✕ ✕✕✕✕, JALAN BALAKONG",DETACHED FACTORY,,"31,200 ft²",151,"11,700,000"
balakong,off-jalan-balakong,01/10/2014,"✕✕ ✕✕✕ (✕✕✕✕), OFF KAMPUNG BARU BALAKONG",DETACHED FACTORY,,333 ft²,92,"5,000,000"
balakong,off-jalan-balakong,10/07/2014,"✕✕ ✕✕✕✕✕, PEC LOT 5199",DETACHED FACTORY,"39,783 ft²","20,925 ft²",163,"6,500,000"
balakong,off-jalan-balakong,,,,,,,
balakong,jalan-balakong,18/10/2016,"✕✕✕ ✕✕✕✕-✕, KAWASAN PERINDUSTRIAN BALAKONG JAYA 2",DETACHED FACTORY,,"15,794 ft²",213,"9,800,000"
balakong,jalan-balakong,18/11/2015,"✕✕✕ ✕✕✕✕-✕, KAWASAN PERINDUSTRIAN BALAKONG JAYA 2",DETACHED FACTORY,,"15,794 ft²",196,"9,000,000"
balakong,jalan-balakong,28/03/2015,"✕✕✕ ✕✕✕✕✕, JALAN KAJANG",DETACHED FACTORY,,"15,794 ft²",267,"11,800,000"
balakong,jalan-balakong,,,,,,,
balakong,taman-teras,19/05/2016,"✕✕ ✕, JALAN TERAS 1",SEMI-D FACTORY,"12,002 ft²","7,091 ft²",287,"3,450,000"
balakong,taman-teras,03/05/2016,"✕, JALAN TERAS 3",SEMI-D FACTORY,"12,002 ft²","5,397 ft²",292,"3,500,000"
balakong,taman-teras,13/07/2015,"✕✕ ✕, JALAN TERAS 1",DETACHED FACTORY,,"24,203 ft²",197,"12,000,000"
balakong,taman-teras,20/10/2014,"✕✕ ✕, JALAN TERAS 1",SEMI-D FACTORY,"10,915 ft²","9,040 ft²",312,"3,400,000"
balakong,taman-teras,23/12/2013,"✕✕.✕✕, JALAN TERAS 1",SEMI-D FACTORY,"20,559 ft²","7,883 ft²",229,"4,700,000"
balakong,taman-teras,29/11/2013,"✕✕.✕, JALAN TERAS 2",SEMI-D FACTORY,"17,513 ft²","7,883 ft²",262,"4,580,000"
balakong,taman-teras,,,,,,,
balakong,kawasan-perusahaan-li-foong,25/08/2017,"✕, JALAN 6/2",TERRACE FACTORY - INTERMEDIATE,"1,600 ft²","1,985 ft²",449,"718,000"
balakong,kawasan-perusahaan-li-foong,24/05/2017,"✕✕. ✕✕, JALAN 7/1",TERRACE FACTORY - INTERMEDIATE,"1,600 ft²","2,700 ft²",453,"725,000"
balakong,kawasan-perusahaan-li-foong,20/04/2017,"✕✕, JALAN 7/1",TERRACE FACTORY,"1,600 ft²","1,985 ft²",497,"795,000"
balakong,kawasan-perusahaan-li-foong,13/04/2017,"✕✕. ✕✕, JALAN 6/2",TERRACE FACTORY - INTERMEDIATE,"1,600 ft²","1,985 ft²",438,"700,000"
balakong,kawasan-perusahaan-li-foong,13/03/2017,"✕✕. ✕✕, JALAN PERUSAHAAN 3, INDUSTRI SELESA JAYA 2",SEMI-D FACTORY,"11,905 ft²","4,556 ft²",336,"4,000,000"
balakong,kawasan-perusahaan-li-foong,17/08/2016,"✕✕ ✕, JALAN 5/1",TERRACE FACTORY,"4,000 ft²","4,720 ft²",225,"900,000"
balakong,kawasan-perusahaan-li-foong,17/08/2016,"✕✕ ✕✕✕, JALAN 1/5",TERRACE FACTORY,"4,000 ft²","4,720 ft²",225,"900,000"
balakong,kawasan-perusahaan-ringan-balakong,28/06/2017,"✕✕, JALAN P1 BALAKONG",TERRACE FACTORY,"2,799 ft²","3,605 ft²",429,"1,200,000"
balakong,kawasan-perusahaan-ringan-balakong,29/05/2017,"✕✕, JALAN P1",TERRACE FACTORY,"2,799 ft²","3,330 ft²",429,"1,200,000"
balakong,kawasan-perusahaan-ringan-balakong,29/05/2017,"✕✕, JALAN P1",TERRACE FACTORY,"2,799 ft²","3,330 ft²",429,"1,200,000"
balakong,kawasan-perusahaan-ringan-balakong,17/03/2017,"✕✕✕✕-✕, JALAN KPB 8",SEMI-D FACTORY,"19,687 ft²","15,982 ft²",203,"4,000,000"
balakong,kawasan-perusahaan-li-foong,02/08/2016,"✕✕, JALAN 2/2A",TERRACE FACTORY - INTERMEDIATE,"2,400 ft²","2,700 ft²",579,"1,390,000"
balakong,kawasan-perusahaan-li-foong,25/07/2016,"✕, JALAN PERUSAHAAN 3, INDUSTRI SELESA JAYA 2",SEMI-D FACTORY,"12,970 ft²","4,375 ft²",339,"4,400,000"
balakong,kawasan-perusahaan-li-foong,15/07/2016,"✕✕.✕✕, JALAN 7/5",TERRACE FACTORY,"2,000 ft²","2,700 ft²",375,"750,000"
balakong,kawasan-perusahaan-li-foong,,,,,,,
balakong,kawasan-perusahaan-ringan-balakong,18/11/2016,"✕, JALAN P8 PERDANA 8",SEMI-D FACTORY,"7,944 ft²","4,199 ft²",611,"4,850,000"
balakong,kawasan-perusahaan-ringan-balakong,19/09/2016,"✕✕✕✕, JALAN KPB 2",DETACHED FACTORY,,"29,708 ft²",184,"13,000,000"
balakong,kawasan-perusahaan-ringan-balakong,28/06/2016,"✕✕✕✕, JALAN KPB 8",DETACHED FACTORY,,"38,220 ft²",175,"15,250,000"
balakong,kawasan-perusahaan-ringan-balakong,06/04/2016,"✕✕✕✕, OFF JALAN BALAKONG",DETACHED FACTORY,,,190,"25,088,006"
balakong,kawasan-perusahaan-ringan-balakong,06/04/2016,"✕✕✕ ✕✕✕✕, OFF JALAN BALAKONG",DETACHED FACTORY,"39,041 ft²","20,251 ft²",190,"7,417,773"
balakong,kawasan-perusahaan-ringan-balakong,06/04/2016,"✕✕✕ ✕✕✕✕, OFF JALAN BALAKONG",DETACHED FACTORY,,"13,001 ft²",190,"14,225,158"
balakong,kawasan-perusahaan-ringan-balakong,,,,,,,
balakong,taman-industri-balakong-jaya,25/08/2017,"✕, JALAN BJ2T 2/2",SEMI-D FACTORY,"14,330 ft²","6,240 ft²",161,"2,300,000"
balakong,taman-industri-balakong-jaya,15/06/2017,"✕✕✕✕✕, OFF JALAN BALAKONG",DETACHED FACTORY,,"22,604 ft²",127,"8,500,000"
balakong,taman-industri-balakong-jaya,16/05/2017,"✕✕.✕✕, JALAN BJ 2-7",SEMI-D FACTORY,"8,920 ft²","2,833 ft²",314,"2,800,000"
balakong,taman-industri-balakong-jaya,26/01/2017,"✕✕. ✕, JALAN ONE INDUSTRIAL PARK 2, ONE INDUSTRIAL",SEMI-D FACTORY,"7,675 ft²","2,134 ft²",408,"3,128,000"
balakong,taman-industri-balakong-jaya,26/01/2017,"✕✕, JALAN ONE INDUSTRIAL PARK 2",SEMI-D FACTORY,"2,422 ft²","2,487 ft²","1,349","3,268,000"
balakong,taman-industri-balakong-jaya,13/01/2017,"✕✕. ✕, JALAN ONE INDUSTRIAL PARK 2, ONE INDUSTRIAL",SEMI-D FACTORY,"9,182 ft²","2,134 ft²",316,"2,900,000"
balakong,taman-industri-balakong-jaya,29/12/2016,"✕✕. ✕✕, JALAN BALAKONG JAYA 6",TERRACE FACTORY - INTERMEDIATE,"2,002 ft²","2,645 ft²",544,"1,090,000"
balakong,taman-industri-balakong-jaya,16/12/2016,"✕✕.✕ (✕✕ ✕✕✕✕✕), JALAN PERINDUSTRIAN BALAKONG JAYA 2",SEMI-D FACTORY,"10,818 ft²","4,461 ft²",287,"3,100,000"
balakong,taman-industri-balakong-jaya,15/09/2016,"✕✕ ✕✕, JALAN BALAKONG JAYA 6",TERRACE FACTORY - INTERMEDIATE,"2,002 ft²","2,645 ft²",524,"1,050,000"
balakong,taman-industri-balakong-jaya,10/08/2016,"✕✕. ✕, JALAN BALAKONG JAYA 6",TERRACE FACTORY - INTERMEDIATE,"2,002 ft²","2,645 ft²",497,"995,000"
balakong,taman-industri-balakong-jaya,,,,,,,
balakong,taman-taming-jaya,05/09/2017,"✕✕ ✕✕, JALAN TAMING 6",TERRACE FACTORY - INTERMEDIATE,"2,400 ft²","3,330 ft²",563,"1,350,000"
balakong,taman-taming-jaya,02/08/2017,"✕, JALAN TAMING P/1",SEMI-D FACTORY,"7,804 ft²","3,643 ft²",397,"3,100,000"
balakong,taman-taming-jaya,26/07/2017,"✕✕. ✕✕, JALAN TAMING 6",TERRACE FACTORY - CORNER LOT,"3,487 ft²","3,330 ft²",373,"1,300,000"
balakong,taman-taming-jaya,08/06/2017,"✕✕, JALAN TAMING 5",TERRACE FACTORY - INTERMEDIATE,"2,400 ft²","3,330 ft²",553,"1,326,000"
balakong,taman-taming-jaya,22/03/2017,"✕✕ ✕✕, JALAN TAMING 5",TERRACE FACTORY - END LOT,"2,400 ft²","3,330 ft²",542,"1,300,000"
balakong,taman-taming-jaya,07/03/2017,"✕✕, JALAN TAMING 7",TERRACE FACTORY - INTERMEDIATE,"2,400 ft²","3,330 ft²",575,"1,380,000"
balakong,taman-taming-jaya,07/03/2017,"✕✕, JALAN TAMING 7",TERRACE FACTORY - INTERMEDIATE,"2,400 ft²","3,330 ft²",575,"1,380,000"
balakong,taman-taming-jaya,20/01/2017,"✕✕. ✕✕, TAMING P/1",SEMI-D FACTORY,"7,761 ft²","6,750 ft²",354,"2,750,000"
balakong,taman-taming-jaya,05/12/2016,"✕✕, JALAN TAMING 7",TERRACE FACTORY,"2,160 ft²","2,727 ft²",477,"1,030,000"
balakong,taman-taming-jaya,10/08/2016,"✕✕, JALAN TANMING 8",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","2,300 ft²",650,"1,300,000"
balakong,taman-taming-jaya,,,,,,,
