City,Year,CityAddress,BuildingType,LandArea,PricePsf
rawang,2015,"rawang, jalan velox 2",TERRACE FACTORY - INTERMEDIATE,"2,002",257
rawang,2015,"rawang, jalan velox 1",TERRACE FACTORY,"1,604",143
rawang,2015,"rawang, jalan velox 1",TERRACE FACTORY - INTERMEDIATE,"1,604",193
rawang,2017,"rawang, jalan sms 3",SEMI-D FACTORY,"13,466",203
rawang,2016,"rawang, jalan sms 2",SEMI-D FACTORY,"8,224",268
rawang,2016,"rawang, jalan sms 2",SEMI-D FACTORY,"8,224",268
rawang,2015,"rawang, jalan sms 3",SEMI-D FACTORY,"8,224",268
rawang,2014,"rawang, jalan sms 3a",SEMI-D FACTORY,"8,224",268
rawang,2014,"rawang, jalan sms 1",SEMI-D FACTORY,"8,224",280
rawang,2013,"rawang, jalan sms 3",SEMI-D FACTORY,"8,224",259
rawang,2013,"rawang, jalan rawang perdana",SEMI-D FACTORY,"8,224",255
rawang,2013,"rawang, jalan sms 1",SEMI-D FACTORY,"8,224",243
rawang,2016,"rawang, jalan perusahaan 3/1",TERRACE FACTORY - INTERMEDIATE,"2,250",187
rawang,2015,"rawang, jalan perusahaan 3",SEMI-D FACTORY,"15,199",194
rawang,2014,"rawang, jalan perusahaan 3/3",TERRACE FACTORY - INTERMEDIATE,"2,250",222
rawang,2014,"rawang, jalan perusahaan 3/1",TERRACE FACTORY - INTERMEDIATE,"2,250",133
rawang,2014,"rawang, jalan perusahaan 3/3",SEMI-D FACTORY,"15,199",204
rawang,2013,"rawang, jalan perusahaan 3/3",SEMI-D FACTORY,"17,136",175
rawang,2017,"rawang, jalan kri 7",DETACHED FACTORY,"42,281",142
rawang,2017,"rawang, jalan kri 3",TERRACE FACTORY - INTERMEDIATE,"2,702",204
rawang,2017,"rawang, jalan kri 3",TERRACE FACTORY,"2,702",241
rawang,2016,"rawang, jalan kri 5",TERRACE FACTORY - INTERMEDIATE,"2,400",204
rawang,2016,"rawang, jalan kri 2",TERRACE FACTORY,"2,702",198
rawang,2016,"rawang, jalan kri 2",TERRACE FACTORY - INTERMEDIATE,"2,702",196
rawang,2016,"rawang, industri rumah panjang apmc",TERRACE FACTORY - INTERMEDIATE,"3,261",153
rawang,2016,"rawang, industri rumah panjang apmc",TERRACE FACTORY - INTERMEDIATE,"2,971",101
rawang,2016,"rawang, jalan kiri 2",TERRACE FACTORY,"2,702",241
rawang,2016,"rawang, jalan kri 2",TERRACE FACTORY - CORNER LOT,"3,165",231
rawang,2014,"rawang, jalan pkp 3/1",SEMI-D FACTORY,"10,452",239
rawang,2017,"rawang, jalan kpk 1/7",TERRACE FACTORY - INTERMEDIATE,"2,605",192
rawang,2017,"rawang, jalan kpk 1/8",TERRACE FACTORY - INTERMEDIATE,"2,605",269
rawang,2017,"rawang, jalan kpk 1/8",TERRACE FACTORY - INTERMEDIATE,"2,605",365
rawang,2017,"rawang, jalan kpk 1/5",DETACHED FACTORY,"27,545",142
rawang,2015,"rawang, jalan kpk 1/7",TERRACE FACTORY - INTERMEDIATE,"2,605",217
rawang,2015,"rawang, jalan kpk 1/7",TERRACE FACTORY - END LOT,"2,605",219
rawang,2015,"rawang, jalan kpk 1/7",TERRACE FACTORY - INTERMEDIATE,"2,605",217
rawang,2015,"rawang, jalan kpk 3/1",SEMI-D FACTORY,"10,452",266
rawang,2017,"rawang, saujana teknologi rawang",SEMI-D FACTORY,"20,527",226
rawang,2016,"rawang, saujana teknologi rawang",SEMI-D FACTORY,"11,905",252
rawang,2016,"rawang, saujana teknologi rawang",DETACHED FACTORY,"23,379",179
semenyih,2015,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"12,152",269
semenyih,2014,"semenyih, off jalan bangi lama",SEMI-D FACTORY,"11,875",273
rawang,2014,"rawang, jalan kuala garing",DETACHED FACTORY,"20,225",119
rawang,2014,"rawang, off jalan batu arang",DETACHED FACTORY,"12,314",134
rawang,2014,"rawang, jalan besar garing utama",SEMI-D FACTORY,"5,995",100
rawang,2015,"rawang, jalan perusahaan 3",DETACHED FACTORY,"38,836",188
rawang,2014,"rawang, jalan perusahaan 7",TERRACE FACTORY - INTERMEDIATE,"3,003",200
selayang,2015,"selayang, jalan batu caves",SEMI-D FACTORY,"5,939",825
rawang,2017,"rawang, off jalan rawang - ipoh",SEMI-D FACTORY,"12,872",200
rawang,2016,"rawang, off jalan rawang - ipoh",SEMI-D FACTORY,"12,079",203
rawang,2014,"rawang, off jalan rawang - ipoh",SEMI-D FACTORY,"11,670",153
rawang,2013,"rawang, off jalan rawang - ipoh",SEMI-D FACTORY,"12,872",184
rawang,2017,"rawang, jalan brp 9/1b",DETACHED FACTORY,"21,775",404
rawang,2015,"rawang, jalan brp 9/1c",DETACHED FACTORY,"38,309",300
rawang,2015,"rawang, jalan brp 9/1b",DETACHED FACTORY,"28,793",260
rawang,2013,"rawang, jalan brp 9/1c",DETACHED FACTORY,"21,905",253
selayang,2017,"selayang, jalan su 26",TERRACE FACTORY - END LOT,"2,164",654
selayang,2017,"selayang, jalan su 24",TERRACE FACTORY - INTERMEDIATE,"2,164",601
selayang,2014,"selayang, jalan su 26",TERRACE FACTORY - INTERMEDIATE,"2,164",624
selayang,2013,"selayang, jalan su 27",TERRACE FACTORY - INTERMEDIATE,"2,164",453
selayang,2017,"selayang, jalan 2/4",TERRACE FACTORY - INTERMEDIATE,"2,454",795
selayang,2016,"selayang, jalan 2/5",TERRACE FACTORY - INTERMEDIATE,"2,454",530
